country,year,population,gdp,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,cement_co2,methane,nitrous_oxide,total_ghg,temperature_change_from_co2
Brazil,1990,149143223.0,1185480000000.0,218.6576843,1.46609199,37.09471512,151.7752991,7.483988762,11.06167889,365.409729,100.4562302,2105.298828,0.029756801
Brazil,1991,151724253.0,1213090000000.0,229.3935852,1.511911154,42.46610641,156.7002258,7.335660934,11.77559185,373.6642761,103.9957733,2189.193604,0.030527551
Brazil,1992,154275077.0,1221830000000.0,233.6008606,1.514184117,41.20307541,163.2516632,7.983260155,9.769857407,379.5870972,106.6476974,2267.928467,0.031329896
Brazil,1993,156794574.0,1298220000000.0,244.305542,1.5581249,42.34260941,171.2524261,8.729969978,10.16354465,382.5765686,110.0818863,2282.486816,0.032135908
Brazil,1994,159265011.0,1391780000000.0,254.0022583,1.594840288,43.66381454,179.1647491,8.985443115,10.08625793,391.6010742,111.7420654,2672.894775,0.033112913
Brazil,1995,161735079.0,1468840000000.0,268.6775208,1.661219954,45.58230972,190.3469696,9.602722168,11.52751637,397.7090149,113.5452423,2645.838135,0.034074176
Brazil,1996,164202549.0,1520360000000.0,289.3109131,1.761914849,46.47149658,206.2785645,10.60794258,13.8839159,387.276947,109.0866394,2586.918701,0.035015613
Brazil,1997,166661662.0,1591960000000.0,306.9490662,1.841749668,47.04711914,219.8297272,11.86315918,15.26706886,396.1526489,111.7437363,2696.837646,0.036001351
Brazil,1998,169159651.0,1617680000000.0,317.359436,1.876094103,45.5907402,229.5781403,12.41111851,16.17543221,404.2888184,122.8742523,2929.595703,0.037083235
Brazil,1999,171641544.0,1645890000000.0,327.2556458,1.906622648,46.8046875,235.4684906,14.06882477,16.43865776,410.4077759,123.774704,2965.704346,0.038178213
Brazil,2000,174018278.0,1739730000000.0,340.1828003,1.954868317,50.45729446,239.4911041,18.44259834,16.04684067,417.3099365,123.3748627,2823.802979,0.039206367
Brazil,2001,176301201.0,1785510000000.0,346.165741,1.963490486,49.42983246,241.7918549,23.18531609,15.22674561,429.6150818,127.2654419,2783.374512,0.040209018
Brazil,2002,178503485.0,1861740000000.0,347.7649536,1.948225021,48.68881607,239.2193298,29.29285812,14.3899622,450.5879211,132.3792114,2981.136475,0.041288979
Brazil,2003,180622688.0,1904930000000.0,344.644928,1.908093214,51.9331131,232.43367,30.91921997,13.09593678,471.5380554,137.4209747,3846.776123,0.042747058
Brazil,2004,182675144.0,2038450000000.0,361.434021,1.978561521,53.83265686,239.7682495,38.21509171,13.27300835,494.9906921,145.9243011,3313.757568,0.04395071
Brazil,2005,184688101.0,2129210000000.0,364.3705444,1.972896814,50.95163345,240.2184448,39.618927,14.34856796,497.6864929,145.9465942,3057.047852,0.045037538
Brazil,2006,186653099.0,2240810000000.0,368.8709412,1.976238012,50.83460617,242.251358,42.05303574,15.43995476,493.2843018,143.0040588,2819.170898,0.046020549
Brazil,2007,188552311.0,2405630000000.0,390.5734253,2.071432829,54.98905563,256.0033569,43.24560165,17.20044518,491.5204468,155.7946472,2745.828125,0.046965569
Brazil,2008,190367297.0,2559840000000.0,412.6378479,2.167587996,55.31549835,267.2388,51.30269241,18.88383484,488.1548462,148.7112122,2616.449707,0.047857028
Brazil,2009,192079958.0,2589570000000.0,389.7753296,2.029234648,43.58605194,262.7054138,40.95853806,19.03133011,486.8582458,144.2874603,2432.428223,0.048668195
Brazil,2010,193701931.0,2820490000000.0,440.269043,2.27292037,56.68818665,286.0799866,55.04882431,21.28804016,507.8707581,162.3281555,2422.23584,0.049457185
Brazil,2011,195284736.0,2968460000000.0,461.9113159,2.365322351,62.29240036,303.8850098,53.10058212,22.17632484,505.2668152,159.9594574,2379.087646,0.050228987
Brazil,2012,196876113.0,3025480000000.0,497.4682007,2.526808262,61.01647186,327.7339783,63.39656067,24.1572094,506.8518372,161.6074066,2503.240967,0.051055238
Brazil,2013,198478290.0,3116390000000.0,531.5688477,2.678221464,65.60408783,342.3381348,74.70378876,25.80284309,506.4587097,161.1612549,2568.796387,0.051911391
Brazil,2014,200085126.0,3132100000000.0,556.5255127,2.781443596,69.0371933,356.7507019,81.28511047,25.53251457,512.6400757,167.8119507,2628.207031,0.052788518
Brazil,2015,201675534.0,3021040000000.0,528.1735229,2.61892724,69.45493317,330.355957,80.46411896,23.90254593,521.1735229,165.6291656,2617.903809,0.053658146
Brazil,2016,203218108.0,2922080000000.0,491.7448425,2.419788361,63.82790756,312.9418335,69.66627502,21.41184425,524.1326294,164.676239,2512.194824,0.054479267
Brazil,2017,204703440.0,2960730000000.0,497.2545471,2.429146051,67.31838226,315.0450745,70.68840027,20.30569649,522.6450195,173.2654572,2431.265137,0.055260744
Brazil,2018,206107265.0,3013540000000.0,476.6005554,2.312390804,65.83731842,298.8893738,67.41765594,20.5591774,522.1157837,167.6762543,2423.189453,0.056041341
Brazil,2019,207455459.0,3050330000000.0,476.7237549,2.297957182,61.88453674,302.9797363,67.12190247,20.84056664,528.946228,175.2071533,2468.734131,0.056835979
Brazil,2020,208660845.0,2950380000000.0,447.9993896,2.14702177,55.94921875,285.2835388,59.02661133,23.84300041,535.7717285,183.760849,2571.217041,0.057669844
Brazil,2021,209550291.0,3097570000000.0,496.5619812,2.369655371,67.93636322,303.4654541,75.97504425,25.28812027,545.361084,189.9515381,2774.466309,0.058588132
Brazil,2022,210306411.0,3187410000000.0,480.0582886,2.2826612,56.11171341,315.3390808,60.08588791,24.62459946,566.2214966,194.9860535,2875.003662,0.059540033
Brazil,2023,211140731.0,,483.9919434,2.292271852,54.90581894,323.2901611,56.11952972,25.77941513,566.2032471,196.1811829,2817.818115,0.060465652
Brazil,2024,211998565.0,,483.0115356,2.278371811,50.95448303,323.8646851,58.91423416,25.38115883,579.9898682,203.9707031,2804.430664,0.061375525
Canada,1990,27789437.0,835997000000.0,458.0178528,16.48172569,99.13868713,212.1934204,125.7056961,5.823211193,97.48885345,44.9349556,802.0137939,0.020150883
Canada,1991,28157154.0,820274000000.0,449.7764587,15.97378922,104.1518784,199.9638367,125.27565,4.770786762,99.28505707,42.12450027,780.8287964,0.020438831
Canada,1992,28500066.0,829742000000.0,463.3927612,16.25935745,106.9849091,202.86203,132.4727173,4.804071903,103.6552658,42.16294098,812.6948853,0.020739144
Canada,1993,28830635.0,853776000000.0,464.0715942,16.09647369,99.61761475,206.1599121,137.0217896,4.892830849,105.476059,43.85393143,812.2709961,0.021037685
Canada,1994,29147383.0,894852000000.0,478.467865,16.41546631,103.2867661,211.1726074,140.2601624,5.769323826,109.1218796,47.99237442,839.3082275,0.021344895
Canada,1995,29459138.0,921360000000.0,491.3053284,16.67751884,104.7092972,213.867569,147.9846497,6.529322147,112.922081,47.88808441,862.3283691,0.021660808
Canada,1996,29767210.0,938873000000.0,507.7752075,17.05820656,106.8665085,220.8017731,154.5466614,6.185380936,114.9093933,48.08585358,901.9710693,0.021993589
Canada,1997,30059088.0,981728000000.0,522.0186768,17.36641884,113.7306747,228.7488708,153.1548309,6.657483101,117.4897079,41.08204269,879.0811768,0.022318054
Canada,1998,30329971.0,1022470000000.0,529.6148071,17.46176529,119.8413544,231.6180267,149.9671936,6.828347206,118.3791733,41.35076523,882.7935181,0.02264367
Canada,1999,30599458.0,1078410000000.0,543.8594971,17.77350235,120.135643,234.5887604,162.4683533,7.118443012,118.619606,40.25280762,901.3710327,0.022978038
Canada,2000,30891800.0,1137680000000.0,566.6798706,18.34402275,129.4828186,237.2430573,173.0307922,7.232123852,121.6526108,38.86295319,959.4121704,0.023337802
Canada,2001,31213578.0,1161460000000.0,558.9805908,17.90825081,126.8467102,241.2818298,165.2691803,6.982742786,121.9847183,37.81289291,947.8027954,0.023692664
Canada,2002,31535579.0,1199870000000.0,564.2561646,17.89268494,124.5281982,242.1967621,171.3308563,7.148303986,124.4161606,38.55849457,937.4663696,0.024041438
Canada,2003,31836483.0,1224580000000.0,581.1903687,18.25548363,123.5774307,257.9126892,173.9562378,7.248136044,123.5161972,39.30819321,948.5997925,0.024395294
Canada,2004,32132680.0,1265920000000.0,576.286377,17.93458939,116.2325668,263.6665955,169.7281952,7.519955158,127.2051773,38.63164139,948.8027344,0.024747886
Canada,2005,32440172.0,1310080000000.0,570.3961182,17.58301735,117.2605286,258.1053467,168.7094269,7.613986015,126.3536301,39.67076492,937.12677,0.025095133
Canada,2006,32759174.0,1348290000000.0,566.3153687,17.28723145,114.6043549,256.9365845,168.0487213,7.728497982,129.9225311,37.05961609,910.4238892,0.025429927
Canada,2007,33092171.0,1379930000000.0,589.9562378,17.82766724,119.2038193,263.6167603,180.414505,7.731019974,128.1701965,40.61162567,907.1373901,0.025762428
Canada,2008,33449088.0,1397940000000.0,574.2143555,17.16681671,113.1442719,255.2203064,180.7417145,6.988371849,124.8919373,39.38597488,884.1873169,0.026086623
Canada,2009,33826370.0,1360540000000.0,541.1298828,15.99727821,93.71363068,251.4790497,173.8636322,5.364042759,118.1251755,37.79637146,798.7179565,0.026376091
Canada,2010,34196900.0,1406360000000.0,554.3074341,16.20928955,96.39471436,257.1850891,177.7104645,6.005435944,118.9156113,38.8163681,796.3220825,0.026663667
Canada,2011,34555449.0,1454220000000.0,562.8324585,16.28780556,87.38171387,258.6364136,193.4589844,6.020141125,119.6415482,41.11941147,850.8776855,0.026974445
Canada,2012,34922513.0,1479830000000.0,561.7695313,16.0861721,82.2091217,258.2382813,196.5319214,6.532304764,122.5823212,42.90961456,857.8001709,0.027286211
Canada,2013,35293421.0,1514300000000.0,568.5897217,16.11035919,79.92080688,259.8504028,203.5643158,5.973036766,123.2393188,42.68235016,864.2272339,0.027600678
Canada,2014,35634265.0,1557760000000.0,564.9382324,15.85379219,77.55775452,252.104248,210.1711578,5.911521912,128.4559021,42.09048843,879.9921265,0.02792016
Canada,2015,35962236.0,1568030000000.0,563.0025635,15.65538216,74.33643341,251.9708405,212.6798859,6.184772015,127.1635437,42.06861496,879.9317017,0.028240208
Canada,2016,36353345.0,1583730000000.0,553.7070313,15.23125362,74.53210449,247.8419647,209.4668121,6.114244938,122.5126953,41.09420013,846.4199219,0.028547697
Canada,2017,36808498.0,1631870000000.0,566.6602783,15.39482212,73.96281433,252.3565063,217.1017303,6.863101959,124.5078125,41.84672928,878.5891724,0.028868435
Canada,2018,37294996.0,1677190000000.0,575.0907593,15.42005157,62.46744156,258.2163086,230.6290131,6.989642143,125.9721451,43.70193863,873.2074585,0.029185256
Canada,2019,37782934.0,1708860000000.0,579.007019,15.32456493,59.81122208,260.9418945,233.9094086,7.195471764,125.1638565,42.37799835,861.4067383,0.029497722
Canada,2020,38171903.0,1622140000000.0,524.2079468,13.73282146,49.44234467,225.772644,224.8758698,6.712529182,110.8216019,44.28883743,795.9885254,0.029786328
Canada,2021,38454058.0,1703440000000.0,537.4786377,13.97716331,47.05899048,233.6239166,231.2293243,7.384992123,114.9099655,43.14056396,821.7352295,0.030085202
Canada,2022,38821259.0,1761300000000.0,547.6576538,14.10715866,39.15651321,242.2908936,240.854248,6.751512051,117.0547333,43.208004,815.4545898,0.030380255
Canada,2023,39299098.0,,545.4785156,13.88017941,36.38423157,241.5264587,240.9398499,7.300191879,118.7201233,44.85347748,825.0513306,0.030678136
Canada,2024,39742429.0,,533.3400879,13.41991711,28.67247963,244.5719147,233.4677277,7.300191879,115.3377533,44.73481369,802.7321777,0.030967543
